date,mass,count,flag_location,elevation,depth,n_m2,mass_m2,mass_n,watershed,date_fct
2023-09-19,0,0,WR,Riparian,0-5 cm,0,0,NA,W,2023-09-19
2023-09-19,0.013000000000000001,14,WU1,Upper,0-10 cm,224,0.20800000000000002,9.285714285714287e-4,W,2023-09-19
2023-09-19,0.0031,2,WU1,Upper,0-5 cm,32,0.0496,0.00155,W,2023-09-19
2023-09-19,0.0099,12,WU1,Upper,5-10 cm,192,0.1584,8.250000000000001e-4,W,2023-09-19
2023-09-19,0.019200000000000002,17,WU2,Upper,0-10 cm,272,0.30720000000000003,0.0011294117647058825,W,2023-09-19
2023-09-19,0.0082,9,WU2,Upper,0-5 cm,144,0.1312,9.111111111111112e-4,W,2023-09-19
2023-09-19,0.011,8,WU2,Upper,5-10 cm,128,0.176,0.001375,W,2023-09-19
2023-09-19,0.0053,5,WU3,Upper,0-10 cm,80,0.0848,0.00106,W,2023-09-19
2023-09-19,0.0027,2,WU3,Upper,0-5 cm,32,0.0432,0.00135,W,2023-09-19
2023-09-19,0.0026,3,WU3,Upper,5-10 cm,48,0.0416,8.666666666666666e-4,W,2023-09-19
2023-09-19,0.0189,21,WU4,Upper,0-10 cm,336,0.3024,9e-4,W,2023-09-19
2023-09-19,0.0134,15,WU4,Upper,0-5 cm,240,0.2144,8.933333333333333e-4,W,2023-09-19
2023-09-19,0.0055,6,WU4,Upper,5-10 cm,96,0.088,9.166666666666666e-4,W,2023-09-19
